cf-n2  460.48   1.2900                2021       57   0.0041
cf-n   301.7    1.4240        CORR_SOURCE5      209   0.0059
cf-na  305.3    1.4210     SOURCE4_SOURCE5        6   0.0049
cf-ne  450.59   1.2960                2021       61   0.0100
cf-nf  316.61   1.3975                2021       10   0.0204
cf-nh  327.10   1.3878                2021       10   0.0135
cf-nj  296.05   1.4177                2021        7   0.0034
cf-no  262.7    1.4630             SOURCE5        3   0.0129
cf-ns  289.97   1.4240                2021        1   0.0000
cf-nu  334.59   1.3811                2021       11   0.0079
cf-nv  355.66   1.3632                2021       10   0.0111
cf-o   574.11   1.2264                2021        3   0.0003
cf-oh  376.36   1.3422                2021       22   0.0108
cf-os  355.57   1.3586                2021       13   0.0122
cf-p2  190.4    1.8140             SOUECE3        1         
cf-pf  188.2    1.8180             SOURCE3        8         
cf-px  186.6    1.8210             SOURCE3        6         
cf-py  195.0    1.8060     SOURCE3_SOURCE5       17   0.0171
cf-s   291.4    1.6800             SOUECE3        1         
cf-s4  225.40   1.7641                2021        2   0.0000
cf-ss  221.84   1.7701                2021       10   0.0081
cf-sx  186.06   1.8379                2021        5   0.0103
cf-sy  221.20   1.7712                2021        8   0.0110
cg-cg  396.94   1.3650                2021       46   0.0023
cg-ch  669.87   1.2206                2021       76   0.0031
cg-cs  338.34   1.4124                2021        1   0.0000
cg-n1  744.03   1.1643                2021      423   0.0014
cg-ne  404.40   1.3263                2021       44   0.0015
cg-pe  231.38   1.7859                2021        2   0.0137
c -h4  322.47   1.1123                2021      366   0.0024
c -h5  332.14   1.1053                2021      109   0.0036
